year,city,country,avg_temp
1743,Birmingham,United States,10.57
1744,Birmingham,United States,18.49
1745,Birmingham,United States,10.84
1746,Birmingham,United States,
1747,Birmingham,United States,
1748,Birmingham,United States,
1749,Birmingham,United States,
1750,Birmingham,United States,17.70
1751,Birmingham,United States,18.44
1752,Birmingham,United States,11.95
1753,Birmingham,United States,17.07
1754,Birmingham,United States,17.14
1755,Birmingham,United States,15.01
1756,Birmingham,United States,17.27
1757,Birmingham,United States,16.80
1758,Birmingham,United States,15.60
1759,Birmingham,United States,16.64
1760,Birmingham,United States,15.18
1761,Birmingham,United States,17.56
1762,Birmingham,United States,17.03
1763,Birmingham,United States,15.15
1764,Birmingham,United States,17.05
1765,Birmingham,United States,16.76
1766,Birmingham,United States,17.48
1767,Birmingham,United States,16.41
1768,Birmingham,United States,15.87
1769,Birmingham,United States,16.84
1770,Birmingham,United States,16.70
1771,Birmingham,United States,17.44
1772,Birmingham,United States,17.33
1773,Birmingham,United States,17.39
1774,Birmingham,United States,17.02
1775,Birmingham,United States,17.95
1776,Birmingham,United States,16.75
1777,Birmingham,United States,16.71
1778,Birmingham,United States,14.30
1779,Birmingham,United States,10.26
1780,Birmingham,United States,
1781,Birmingham,United States,17.15
1782,Birmingham,United States,16.73
1783,Birmingham,United States,16.50
1784,Birmingham,United States,16.58
1785,Birmingham,United States,16.29
1786,Birmingham,United States,16.85
1787,Birmingham,United States,16.90
1788,Birmingham,United States,17.30
1789,Birmingham,United States,17.08
1790,Birmingham,United States,16.96
1791,Birmingham,United States,17.22
1792,Birmingham,United States,16.76
1793,Birmingham,United States,17.15
1794,Birmingham,United States,17.30
1795,Birmingham,United States,17.13
1796,Birmingham,United States,16.94
1797,Birmingham,United States,16.91
1798,Birmingham,United States,17.55
1799,Birmingham,United States,17.30
1800,Birmingham,United States,17.11
1801,Birmingham,United States,17.45
1802,Birmingham,United States,17.62
1803,Birmingham,United States,17.48
1804,Birmingham,United States,17.52
1805,Birmingham,United States,17.55
1806,Birmingham,United States,17.20
1807,Birmingham,United States,16.98
1808,Birmingham,United States,16.80
1809,Birmingham,United States,15.97
1810,Birmingham,United States,16.04
1811,Birmingham,United States,16.21
1812,Birmingham,United States,15.60
1813,Birmingham,United States,16.59
1814,Birmingham,United States,16.37
1815,Birmingham,United States,16.01
1816,Birmingham,United States,15.57
1817,Birmingham,United States,15.70
1818,Birmingham,United States,16.41
1819,Birmingham,United States,16.22
1820,Birmingham,United States,16.24
1821,Birmingham,United States,16.29
1822,Birmingham,United States,17.21
1823,Birmingham,United States,16.63
1824,Birmingham,United States,17.22
1825,Birmingham,United States,17.63
1826,Birmingham,United States,17.34
1827,Birmingham,United States,17.94
1828,Birmingham,United States,18.44
1829,Birmingham,United States,17.11
1830,Birmingham,United States,18.29
1831,Birmingham,United States,16.42
1832,Birmingham,United States,17.30
1833,Birmingham,United States,17.47
1834,Birmingham,United States,17.99
1835,Birmingham,United States,16.49
1836,Birmingham,United States,16.23
1837,Birmingham,United States,17.04
1838,Birmingham,United States,16.28
1839,Birmingham,United States,17.07
1840,Birmingham,United States,17.30
1841,Birmingham,United States,17.06
1842,Birmingham,United States,17.38
1843,Birmingham,United States,16.52
1844,Birmingham,United States,17.30
1845,Birmingham,United States,16.88
1846,Birmingham,United States,17.27
1847,Birmingham,United States,16.57
1848,Birmingham,United States,16.93
1849,Birmingham,United States,17.26
1850,Birmingham,United States,17.29
1851,Birmingham,United States,16.91
1852,Birmingham,United States,16.86
1853,Birmingham,United States,16.81
1854,Birmingham,United States,17.68
1855,Birmingham,United States,17.21
1856,Birmingham,United States,16.05
1857,Birmingham,United States,15.82
1858,Birmingham,United States,16.95
1859,Birmingham,United States,16.92
1860,Birmingham,United States,17.32
1861,Birmingham,United States,17.24
1862,Birmingham,United States,17.59
1863,Birmingham,United States,16.54
1864,Birmingham,United States,16.14
1865,Birmingham,United States,17.27
1866,Birmingham,United States,16.68
1867,Birmingham,United States,17.11
1868,Birmingham,United States,16.34
1869,Birmingham,United States,16.35
1870,Birmingham,United States,16.75
1871,Birmingham,United States,17.56
1872,Birmingham,United States,16.17
1873,Birmingham,United States,16.42
1874,Birmingham,United States,17.51
1875,Birmingham,United States,16.59
1876,Birmingham,United States,16.55
1877,Birmingham,United States,16.88
1878,Birmingham,United States,17.25
1879,Birmingham,United States,17.32
1880,Birmingham,United States,17.36
1881,Birmingham,United States,17.69
1882,Birmingham,United States,17.67
1883,Birmingham,United States,17.64
1884,Birmingham,United States,16.97
1885,Birmingham,United States,15.96
1886,Birmingham,United States,16.10
1887,Birmingham,United States,17.11
1888,Birmingham,United States,16.83
1889,Birmingham,United States,16.73
1890,Birmingham,United States,17.70
1891,Birmingham,United States,16.84
1892,Birmingham,United States,16.29
1893,Birmingham,United States,16.85
1894,Birmingham,United States,17.03
